reversion_init,word_init,reversion_detal1,reversion_week1,word_week1,reversion_detal2,reversion_week2,word_week1,reversion_detal3,reversion_week3,word_week3,reversion_detal4,reversion_week4,word_week4,reversion_month,word_month,revert,log_word_month
0.43,80,-0.43,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,4.428571429,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,0,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.29,-169.7142857,-0.29,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
5.14,1006.714286,-5.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
1.71,67.85714286,-1.71,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
1.29,483.5714286,3.71,5.00,1837.428571,-5,0,0,0,0,0,0,0,0,1.25,459.3571429,1,2.66
0.43,-294.7142857,0.57,1.00,172.8571429,-1,0,0,0,0,0,0,0,0,0.25,43.21428571,1,1.65
1.86,311,-1.86,0.00,0,0.142857143,0.142857143,3.142857143,-0.142857143,0,0,0.571428571,0.571428571,46,0.178571429,12.28571429,1,1.12
0.14,382,0.86,1.00,420.8571429,-0.428571429,0.571428571,95.42857143,-0.571428571,0,0,0,0,0,0.392857143,129.0714286,1,2.11
5.71,2050,-5.71,0.00,0,0,0,0,0.285714286,0.285714286,-17.71428571,-0.285714286,0,0,0.071428571,-4.428571429,1,0.54
16.14,-11197.71429,-15.43,0.71,448,-0.714285714,0,0,0,0,0,0,0,0,0.178571429,112,1,2.05
0.29,-0.857142857,-0.29,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.86,7490,-0.57,0.29,1218.428571,0,0.285714286,1493.285714,-0.285714286,0,0,0,0,0,0.142857143,677.9285714,1,2.83
1.29,49.57142857,-0.43,0.86,2,1,1.857142857,51.71428571,-0.428571429,1.428571429,2,-1,0.428571429,74.85714286,1.142857143,32.64285714,1,1.53
0.29,39.85714286,-0.14,0.14,-40.28571429,-0.142857143,0,0,0,0,0,0,0,0,0.035714286,-10.07142857,1,0.96
0.14,8.857142857,-0.14,0.00,0,0,0,0,0,0,0,0.142857143,0.142857143,42.42857143,0.035714286,10.60714286,1,1.06
0.29,66.14285714,0.00,0.29,33.85714286,-0.285714286,0,0,0,0,0,0,0,0,0.071428571,8.464285714,1,0.98
0.14,19.42857143,1.43,1.57,133.2857143,-1.428571429,0.142857143,66.85714286,0.571428571,0.714285714,142,-0.428571429,0.285714286,410.1428571,0.678571429,188.0714286,1,2.28
0.43,2.428571429,-0.43,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,54.14285714,2.29,2.43,52.42857143,-2.428571429,0,0,1.857142857,1.857142857,126.7142857,-1.571428571,0.285714286,0.571428571,1.142857143,44.92857143,1,1.66
1.71,-186.5714286,4.71,6.43,90.85714286,-2.571428571,3.857142857,-66.85714286,-3.857142857,0,0,2.714285714,2.714285714,-426.4285714,3.25,-100.6071429,1,2.00
0.14,-77.85714286,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
